Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
USA,2015-12-15,2015_Cape_Town,Match_18_USA_vs_Australia,204,21,3,1.0,34,0.0,5,4,0,2,0.75,1.0,1.0
AUSTRALIA,2015-12-15,2015_Cape_Town,Match_18_USA_vs_Australia,154,26,4,0.75,20,50.0,5,4,1,1,0.6666666666666666,0.6666666666666666,0.0
USA,2015-12-15,2015_Cape_Town,Match_1_USA_vs_Wales,187,26,4,0.75,39,25.0,2,0,0,9,1.0,0.0,1.0
WALES,2015-12-15,2015_Cape_Town,Match_1_USA_vs_Wales,161,19,3,0.6666666666666666,22,0.0,3,2,0,5,0.75,1.0,1.0
KENYA,2015-12-15,2015_Cape_Town,Match_32_Kenya_vs_USA,225,26,4,0.75,26,50.0,1,1,0,4,0.8,1.0,1.0
USA,2015-12-15,2015_Cape_Town,Match_32_Kenya_vs_USA,113,10,2,0.0,21,66.66666666666666,5,4,0,3,0.25,0.0,1.0
NEW ZEALAND,2015-12-15,2015_Cape_Town,Match_38_New_Zealand_vs_USA,96,14,2,1.0,8,0.0,3,3,0,2,0.6666666666666666,1.0,1.0
USA,2015-12-15,2015_Cape_Town,Match_38_New_Zealand_vs_USA,302,28,4,1.0,59,75.0,1,0,0,5,0.9166666666666666,1.0,0.0
FIJI,2015-12-15,2015_Cape_Town,Match_43_Fiji_vs_USA,186,29,5,0.4,20,0.0,2,2,0,4,0.6666666666666666,1.0,1.0
USA,2015-12-15,2015_Cape_Town,Match_43_Fiji_vs_USA,241,19,3,0.6666666666666666,45,66.66666666666666,1,1,0,10,0.875,0.0,1.0
USA,2015-12-15,2015_Cape_Town,Match_9_USA_vs_Portugal,222,52,8,0.75,30,50.0,6,4,1,0,0.8571428571428571,0.0,1.0
