Team,Opposition,MatchID,TotalPoints,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct,Scores,Tries,Possession Time,Passes,Rucks Attack,Ruck_retention,T-Overs Won,Pens_Frees_Against,Ruck_Maul,Yellow_Red Cards
USA,Argentina,1,22,2019_Singapore_7s,0.5,100,1,1,12,2,219,31,11,91,5,2,2,0
ARGENTINA,USA,1,50,2019_Las_Vegas,0.75,25,0,1,26,4,259,46,18,94,2,4,0,2
USA,Argentina,2,45,2019_Cape_Town,0.6,20,1,1,31,5,171,19,8,100,4,2,0,1
AUSTRALIA,USA,2,39,2019_Dubai_7s,0.333333333,50,0,1,17,3,308,51,17,94,3,1,1,0
USA,Argentina,3,50,2019_Las_Vegas,0.5,0,1,1,24,4,178,23,7,86,2,4,3,0
Argentina,USA,3,45,2019_Cape_Town,1,0,0,1,14,2,138,24,7,71,2,3,0,1
USA,Australia,4,39,2019_Dubai_7s,0.25,25,0,1,22,4,215,43,6,83,5,4,1,1
Argentina,USA,4,22,2019_Singapore_7s,0,100,0,1,10,2,250,27,10,80,2,5,2,0
USA,Australia,5,36,2019_London_7s,0.666666667,50,1,1,19,3,233,30,14,79,2,3,2,1
Australia,USA,5,36,2019_London_7s,0.333333333,0,0,0,17,3,204,30,10,100,5,4,2,0
USA,Canada,6,43,2019_London_7s,0.4,40,0,1,29,5,239,39,8,100,4,1,0,0
CANADA,USA,6,50,2019_Sydney_7s,1,66.66666667,0,1,14,2,178,25,13,92,1,2,0,1
USA,Canada,7,38,2019_Paris_7s,0.75,20,0,1,26,4,303,33,9,100,2,0,0,0
CHILE,USA,7,52,2019_Vancouver_7s,0.666666667,0,0,1,19,3,230,38,14,93,5,0,0,0
Canada,USA,8,43,2019_London_7s,1,33.33333333,0,1,14,2,196,39,9,89,1,5,1,1
USA,Canada,8,50,2019_Sydney_7s,0.5,25,1,1,36,6,246,37,6,100,3,3,1,0
Canada,USA,9,38,2019_Paris_7s,0.5,0,1,0,12,2,184,34,8,88,0,2,0,1
USA,Chile,9,52,2019_Vancouver_7s,0.8,100,1,0,33,5,188,25,4,75,1,5,2,0
ENGLAND,USA,10,26,2019_Hamilton_7s,1,0,0,1,7,1,266,53,15,67,3,2,1,0
USA,England,10,31,2019_Cape_Town,0.666666667,33.33333333,1,0,19,3,150,22,6,100,3,1,0,0
ENGLAND,USA,11,21,2019_Sydney_7s,1,0,0,1,7,1,155,10,4,100,2,6,1,0
USA,England,11,26,2019_Hamilton_7s,0.666666667,0,1,1,19,3,206,35,8,88,8,2,2,0
ENGLAND,USA,12,40,2019_Vancouver_7s,0.666666667,0,0,1,19,3,203,30,11,91,6,7,3,0
USA,England,12,50,2019_Hong_Kong,0.25,0,1,0,22,4,323,55,11,91,5,3,2,1
USA,England,13,29,2019_Singapore_7s,0.25,25,1,1,22,4,391,75,25,92,4,3,2,1
England,USA,13,31,2019_Cape_Town,0.5,50,0,1,12,2,167,30,13,85,2,5,2,0
England,USA,14,50,2019_Hong_Kong,1,33.33333333,0,1,28,4,240,30,16,75,5,7,4,0
USA,England,14,35,2019_Singapore_7s,1,0,0.75,0,7,1,229,38,10,70,5,5,3,3
England,USA,15,29,2019_Singapore_7s,1,0,0,1,7,1,162,27,5,80,3,3,1,0
USA,England,15,21,2019_Sydney_7s,1,100,1,0,14,2,327,71,19,95,0,0,0,0
England,USA,16,35,2019_Singapore_7s,1,66.66666667,0,1,28,4,382,45,13,92,6,7,3,2
