Team,Opposition,MatchID,Tournament,TotalPoints,Scores,Conversions,Total PointsConceded,Tries,Total Tries Conceded,Try Scoring Rate(1 every x secs),Try Conceding Rate(1 every x secs),Tries Scored Build-Up(No Ruck/Maul),Tries Conceded Build-Up(No Ruck/Maul),Opp22m Entries,Opp22m Entry Rate (1 every x secs),Own22m Entries,Own22m Entry Rate(1 every x secs),Tries Scored per Opp22m Entry,Tries Conceded per Own22m Entry,Possession Time,Possession Time(Opp),Passes,Passing Rate(1 every x secs),Rucks Attack,Rucking Rate Attack (secs),Defensive Rucks,% Ruck Success Own,Own Rucks Won per Match,% Ruck Success Opp,Opp Rucks Won per Match,Turnovers Won,Turnovers Conceded,Turnover Differential,Own Contestable Restarts,Own Contestable Restarts Regained,Contestable_Restart_Win_Pct,Opp Contestable Restarts,Opp Contestable Restarts Received,Total Scrums Own Feed,Scrum Success Own Feed,Scrum_Win_Pct,Total Lineouts Own Throw,Lineout Success Own Throw,Lineout_Win_Pct,Penalty/FK Conceded,Ruck-Maul Penalties Conceded,Yellow_Red Cards,Result
USA,Argentina,1,2017-18_Cape_Town,40,12.0,0.5,28.0,2.0,4.0,133.0,41.0,0.0,1.0,4.0,66.7,5.0,53.3,0.5,0.8,267,163,43,6.2,15,17.8,6,0.8666666666666667,13,0.0,0.0,5.0,4.0,1.0,3.0,1.0,33.33333333333333,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0
Argentina,USA,1,2017-18_Cape_Town,40,28.0,1.0,12.0,4.0,2.0,41.0,133.0,1.0,0.0,5.0,32.5,4.0,40.7,0.8,0.5,163,267,19,8.6,6,27.1,15,1.0,6,0.13333333333333333,2.0,4.0,5.0,-1.0,3.0,2.0,66.66666666666666,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
USA,Argentina,2,2017-18_Dubai_7s,36,14.0,1.0,22.0,2.0,4.0,86.0,43.0,0.0,1.0,2.0,86.1,6.0,28.7,1.0,0.6666666666666666,172,171,28,6.1,10,17.2,9,0.9,9,0.0,0.0,1.0,2.0,-1.0,3.0,1.0,33.33333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0
Argentina,USA,2,2017-18_Dubai_7s,36,22.0,0.25,14.0,4.0,2.0,43.0,86.0,1.0,0.0,6.0,28.5,2.0,85.5,0.6666666666666666,1.0,171,172,22,7.8,9,19.0,10,1.0,9,0.1,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,1
USA,Argentina,3,2017-18_Sydney_7s,41,10.0,0.0,31.0,2.0,5.0,112.0,45.0,0.0,4.0,2.0,112.1,8.0,28.0,1.0,0.625,224,226,38,5.9,9,24.9,9,1.0,9,0.1111111111111111,1.0,4.0,9.0,-5.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,0.0,1.0,0
Argentina,USA,3,2017-18_Sydney_7s,41,31.0,0.6,10.0,5.0,2.0,45.0,112.0,4.0,0.0,8.0,28.2,2.0,113.0,0.625,1.0,226,224,22,10.3,9,25.1,9,0.8888888888888888,8,0.0,0.0,9.0,4.0,5.0,3.0,1.0,33.33333333333333,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
USA,Argentina,4,2018_Hamilton_7s,43,31.0,0.6,12.0,5.0,2.0,36.0,72.0,1.0,0.0,6.0,30.4,2.0,91.1,0.8333333333333334,1.0,182,144,12,15.2,6,30.4,7,0.8333333333333334,5,0.0,0.0,3.0,5.0,-2.0,6.0,2.0,33.33333333333333,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5,1.0,1.0,0.0,1
Argentina,USA,4,2018_Hamilton_7s,43,12.0,0.5,31.0,2.0,5.0,72.0,36.0,0.0,1.0,2.0,72.1,6.0,24.0,1.0,0.8333333333333334,144,182,21,6.9,7,20.6,6,1.0,7,0.16666666666666666,1.0,5.0,3.0,2.0,2.0,1.0,50.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0
USA,Argentina,5,2018_Hong_Kong,26,12.0,0.5,14.0,2.0,2.0,157.0,72.0,0.0,2.0,4.0,78.6,3.0,104.8,0.5,0.6666666666666666,314,143,38,8.3,15,21.0,8,1.0,15,0.125,1.0,4.0,5.0,-1.0,3.0,1.0,33.33333333333333,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0
Argentina,USA,5,2018_Hong_Kong,26,14.0,1.0,12.0,2.0,2.0,72.0,157.0,2.0,0.0,3.0,47.7,4.0,35.8,0.6666666666666666,0.5,143,314,12,11.9,8,17.9,15,0.875,7,0.0,0.0,5.0,4.0,1.0,2.0,1.0,50.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1
