Team,MatchID,Tournament,Scores,Tries,Conversions,Possession Time,Passes,Ruck_Maul,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct,Contestable_Restart_Win_Pct,Pens_Frees Against,TurnoversConceded,Yellow_Red Cards
USA,1,2017-18_Cape_Town,12.0,2.0,0.5,267,43,3.0,0.8666666666666667,1.0,1.0,0.3333333333333333,4.0,4.0,
ARGENTINA,1,2017-18_Cape_Town,28.0,4.0,1.0,163,19,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,5.0,
ARGENTINA,2,2017-18_Dubai_7s,22.0,4.0,0.25,171,22,1.0,1.0,1.0,1.0,,1.0,1.0,
USA,2,2017-18_Dubai_7s,14.0,2.0,1.0,172,28,3.0,0.9,,,0.3333333333333333,3.0,2.0,
ARGENTINA,3,2017-18_Sydney_7s,31.0,5.0,0.6,226,22,,0.8888888888888888,,1.0,0.3333333333333333,1.0,4.0,
USA,3,2017-18_Sydney_7s,10.0,2.0,0.0,224,38,,1.0,0.5,1.0,,1.0,9.0,1.0
USA,4,2018_Hamilton_7s,31.0,5.0,0.6,182,12,1.0,0.8333333333333334,0.5,,0.3333333333333333,1.0,5.0,
ARGENTINA,4,2018_Hamilton_7s,12.0,2.0,0.5,144,21,,1.0,,1.0,0.5,2.0,3.0,1.0
USA,5,2018_Hong_Kong,12.0,2.0,0.5,314,38,,1.0,1.0,1.0,0.3333333333333333,1.0,5.0,
ARGENTINA,5,2018_Hong_Kong,14.0,2.0,1.0,143,12,1.0,0.875,,1.0,0.5,4.0,4.0,1.0
USA,6,2018_Hong_Kong,31.0,5.0,0.6,199,28,,1.0,1.0,1.0,0.6666666666666666,2.0,1.0,
ARGENTINA,6,2018_Hong_Kong,17.0,3.0,0.3333333333333333,151,18,1.0,0.8,,,0.25,2.0,4.0,
USA,7,2018_Las_Vegas,28.0,4.0,1.0,254,39,,1.0,1.0,,0.3333333333333333,2.0,6.0,
ARGENTINA,7,2018_Las_Vegas,,,,149,26,4.0,0.5454545454545454,,1.0,,4.0,7.0,
USA,8,2017-18_Cape_Town,31.0,5.0,0.6,269,36,,0.9166666666666666,1.0,1.0,0.5,1.0,5.0,1.0
AUSTRALIA,8,2017-18_Cape_Town,14.0,2.0,1.0,162,20,1.0,1.0,1.0,1.0,,3.0,2.0,
AUSTRALIA,9,2017-18_Sydney_7s,26.0,4.0,0.75,196,21,1.0,0.9166666666666666,0.5,1.0,0.2,1.0,3.0,
USA,9,2017-18_Sydney_7s,19.0,3.0,0.6666666666666666,225,40,2.0,0.8,,,0.5,4.0,6.0,
USA,10,2018_Las_Vegas,28.0,4.0,1.0,286,40,2.0,0.8125,1.0,,0.5,2.0,6.0,
AUSTRALIA,10,2018_Las_Vegas,7.0,1.0,1.0,143,24,3.0,0.7142857142857143,1.0,1.0,,5.0,3.0,
AUSTRALIA,11,2018_Vancouver_7s,31.0,5.0,0.6,153,16,,1.0,1.0,1.0,0.5,1.0,2.0,1.0
USA,11,2018_Vancouver_7s,21.0,3.0,1.0,228,36,,1.0,1.0,1.0,0.3333333333333333,2.0,2.0,1.0
USA,12,2017-18_Dubai_7s,5.0,1.0,0.0,220,52,4.0,0.9166666666666666,1.0,1.0,0.5,6.0,8.0,
CANADA,12,2017-18_Dubai_7s,10.0,2.0,0.0,408,72,2.0,0.9375,1.0,1.0,0.5,2.0,3.0,
USA,13,2017-18_Sydney_7s,40.0,6.0,0.8333333333333334,180,19,2.0,1.0,1.0,,0.5714285714285714,2.0,1.0,
CANADA,13,2017-18_Sydney_7s,19.0,3.0,0.6666666666666666,160,20,1.0,0.8888888888888888,1.0,,0.25,1.0,2.0,1.0
USA,14,2018_Hamilton_7s,28.0,4.0,1.0,221,27,2.0,1.0,1.0,1.0,0.4,3.0,7.0,
CANADA,14,2018_Hamilton_7s,14.0,2.0,1.0,168,20,2.0,0.7692307692307693,,1.0,0.5,3.0,4.0,1.0
USA,15,2018_Vancouver_7s,28.0,4.0,1.0,200,30,3.0,0.7142857142857143,1.0,,0.6666666666666666,3.0,5.0,
CANADA,15,2018_Vancouver_7s,21.0,3.0,1.0,271,36,3.0,0.8888888888888888,1.0,1.0,0.25,3.0,2.0,
ENGLAND,16,2018_Las_Vegas,12.0,2.0,0.5,180,24,3.0,0.6363636363636364,1.0,1.0,,4.0,4.0,
USA,16,2018_Las_Vegas,17.0,3.0,0.3333333333333333,243,32,4.0,0.6428571428571429,1.0,,0.25,6.0,5.0,
USA,17,2017-18_Cape_Town,12.0,2.0,0.5,190,36,2.0,0.75,0.5,1.0,1.0,3.0,10.0,
FIJI,17,2017-18_Cape_Town,26.0,4.0,0.75,227,33,,0.6666666666666666,,1.0,,,2.0,
