Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
ARGENTINA,2019_Las_Vegas,-8.36820083682008,-36.84210526315789,-33.333333333333336,-0.25,-19.480519480519476,75.0,33.333333333333336,100.0,-3,100,1.0,0.0
AUSTRALIA,2019_Dubai_7s,-28.601252609603335,29.166666666666664,25.0,0.26666666666666666,-45.71428571428572,-30.0,-33.333333333333336,-100.0,6,-50,1.0,0.0
Argentina,2019_Cape_Town,12.658227848101262,26.315789473684205,33.333333333333336,-0.5,-2.1276595744680833,0.0,-14.285714285714292,100.0,15,50,1.0,0.0
Argentina,2019_Singapore_7s,-7.5268817204301115,37.5,33.333333333333336,0.25,22.85714285714286,-75.0,11.111111111111114,-33.333333333333336,3,-50,0.0,0.0
Australia,2019_London_7s,6.636155606407328,5.555555555555557,0.0,0.3333333333333333,0.0,50.0,14.285714285714292,0.0,-21,-50,1.0,1.0
CANADA,2019_Sydney_7s,14.628297362110317,34.883720930232556,42.85714285714286,-0.6,21.875,-26.666666666666657,33.333333333333336,0.0,8,50,0.0,0.0
CHILE,2019_Vancouver_7s,13.696060037523452,15.555555555555557,14.285714285714292,0.08333333333333337,-7.042253521126767,20.0,33.333333333333336,0.0,7,0,0.0,0.0
Canada,2019_London_7s,11.312217194570138,44.0,50.0,-0.5,-2.631578947368425,8.333333333333329,-25.0,0.0,11,50,1.0,0.0
Canada,2019_Paris_7s,1.0752688172043037,46.66666666666666,42.85714285714286,0.30000000000000004,-15.254237288135599,-100.0,42.85714285714286,100.0,-13,50,0.0,0.0
ENGLAND,2019_Hamilton_7s,-27.884615384615387,46.15384615384616,50.0,-0.33333333333333337,-41.33333333333334,-33.33333333333333,-33.333333333333336,-100.0,33,0,1.0,-1.0
ENGLAND,2019_Sydney_7s,14.127423822714675,46.15384615384616,50.0,-0.33333333333333337,55.55555555555555,0.0,-50.0,33.333333333333336,-12,0,1.0,0.0
ENGLAND,2019_Vancouver_7s,22.813688212927758,7.317073170731703,14.285714285714292,-0.41666666666666663,29.411764705882348,0.0,-40.0,-20.0,0,-50,1.0,-1.0
England,2019_Cape_Town,40.14336917562724,29.411764705882348,33.333333333333336,-0.25,42.85714285714286,-25.0,25.0,0.0,7,-50,1.0,0.0
England,2019_Hong_Kong,-2.345415778251592,-60.0,-60.0,0.0,11.764705882352942,33.33333333333333,-16.66666666666667,-14.285714285714292,-5,-150,0.75,-1.0
England,2019_Singapore_7s,33.742331288343564,33.333333333333336,33.333333333333336,0.0,44.897959183673464,-100.0,-100.0,-100.0,15,0,1.0,-1.0
England,2019_Singapore_7s,-15.233785822021119,-14.285714285714292,-14.285714285714292,0.0,3.225806451612897,33.33333333333333,-40.0,-20.0,-13,50,1.0,-1.0
FIJ,2019_Hamilton_7s,19.04761904761905,-43.39622641509433,-33.333333333333336,-0.6666666666666666,29.11392405063291,-10.0,0.0,100.0,-25,-50,1.0,0.0
FIJI,2019_Dubai_7s,40.93959731543624,26.315789473684205,33.333333333333336,-0.5,43.18181818181819,75.0,60.0,0.0,0,50,0.0,0.0
FIJI,2019_Vancouver_7s,-18.032786885245898,26.315789473684205,33.333333333333336,-0.5,-16.483516483516482,60.0,-33.333333333333336,0.0,-29,50,0.5,0.0
FRANCE,2019_Las_Vegas,-0.8298755186721962,31.03448275862069,20.0,0.6666666666666666,-4.444444444444443,50.0,42.85714285714286,33.333333333333336,-11,100,1.0,0.0
FRANCE,2019_Sydney_7s,15.909090909090907,100.0,100.0,0.0,5.882352941176464,66.66666666666666,11.111111111111114,-20.0,4,0,0.0,0.33333333333333337
FRANCE,2019_Vancouver_7s,10.140405616224655,-40.42553191489361,-42.85714285714286,0.19999999999999996,23.40425531914893,-16.666666666666657,0.0,-33.333333333333336,15,0,0.0,0.0
Fiji,2019_Cape_Town,-11.25,-34.883720930232556,-42.85714285714286,0.6,24.444444444444443,0.0,20.0,0.0,20,0,0.33333333333333337,0.0
Fiji,2019_Hong_Kong,8.24742268041237,-19.148936170212764,-14.285714285714292,-0.33333333333333337,33.333333333333336,25.0,27.272727272727266,20.0,50,-50,1.0,0.5
Fiji,2019_London_7s,4.928457869634343,24.0,25.0,-0.06666666666666665,29.870129870129865,-50.0,-33.333333333333336,0.0,0,0,1.0,-1.0
Fiji,2019_Paris_7s,16.384180790960457,-65.0,-66.66666666666666,0.19999999999999996,21.951219512195124,-50.0,-33.333333333333336,50.0,16,50,1.0,1.0
France,2019_London_7s,30.027548209366387,-47.36842105263159,-33.333333333333336,-1.0,45.0,-100.0,-42.85714285714286,-33.333333333333336,15,0,1.0,1.0
Japan,2019_Cape_Town,8.722109533468554,-47.36842105263159,-33.333333333333336,0.875,-12.5,-42.857142857142854,-25.0,-100.0,29,0,1.0,0.0
KENYA,2019_Las_Vegas,6.194690265486727,44.44444444444445,33.333333333333336,0.75,3.448275862068968,-20.0,-33.333333333333336,0.0,-11,0,-0.33333333333333337,0.0
KENYA,2019_Sydney_7s,4.609218436873746,44.44444444444445,33.333333333333336,0.75,29.54545454545454,-33.33333333333333,0.0,-50.0,9,0,0.5,-1.0
Kenya,2019_Paris_7s,15.094339622641513,9.677419354838705,20.0,-0.6666666666666667,32.43243243243243,100.0,14.285714285714292,33.333333333333336,18,0,1.0,0.0
Kenya,2019_Singapore_7s,-13.043478260869563,49.09090909090909,55.55555555555555,-0.5714285714285714,-17.808219178082197,50.0,33.333333333333336,-50.0,25,0,1.0,0.0
NEW ZEALAND,2019_Dubai_7s,12.396694214876035,19.230769230769226,25.0,-0.4,15.06849315068493,20.0,60.0,-33.333333333333336,18,50,0.5,0.0
NEW ZEALAND,2019_Dubai_7s,-9.090909090909093,-65.51724137931035,-60.0,-0.5,0.9174311926605441,-50.0,-20.0,-33.333333333333336,5,50,0.0,0.0
NEW ZEALAND,2019_Hamilton_7s,30.744336569579282,0.0,0.0,0.0,47.540983606557376,0.0,-20.0,100.0,28,0,0.0,-1.0
NEW ZEALAND,2019_Las_Vegas,49.206349206349216,-5.555555555555557,0.0,-0.3333333333333333,42.46575342465753,-50.0,-71.42857142857142,-33.333333333333336,-6,50,0.0,0.0
NEW ZEALAND,2019_Sydney_7s,21.962616822429908,6.666666666666671,14.285714285714292,-0.5,15.151515151515156,-33.33333333333333,-60.0,-100.0,3,0,0.0,-1.0
New Zealand,2019_Cape_Town,16.147308781869683,-41.176470588235304,-33.333333333333336,-0.5,18.181818181818187,-50.0,-71.42857142857142,-100.0,37,0,1.0,1.0
SAMOA,2019_Hamilton_7s,39.00709219858157,41.66666666666666,42.85714285714286,-0.09999999999999998,26.984126984126988,40.0,0.0,0.0,19,0,0.0,1.0
SAMOA,2019_Las_Vegas,31.140350877192986,41.66666666666666,42.85714285714286,0.25,6.666666666666671,0.0,-50.0,-100.0,33,0,0.0,0.0
SCOTLAND,2019_Hamilton_7s,26.315789473684205,34.883720930232556,42.85714285714286,-0.6,24.21052631578948,-20.0,-100.0,-100.0,17,0,0.0,0.0
SOUTH AFRICA,2019_Las_Vegas,42.125480153649164,53.48837209302326,42.85714285714286,0.8,16.21621621621621,16.66666666666667,-20.0,-50.0,26,0,1.0,0.5
SOUTH AFRICA,2019_Vancouver_7s,-4.166666666666671,0.0,0.0,0.0,-4.477611940298502,75.0,60.0,-100.0,12,0,1.0,0.0
SPAIN,2019_Dubai_7s,17.28395061728395,0.0,0.0,1.0,-8.771929824561397,0.0,-42.85714285714286,-100.0,43,0,0.0,0.0
SPAIN,2019_Sydney_7s,-11.440677966101688,48.71794871794872,42.85714285714286,0.4,-35.2112676056338,-33.33333333333333,50.0,100.0,-21,0,0.0,-1.0
Samoa,2019_Hong_Kong,-8.235294117647058,-17.647058823529406,-33.333333333333336,1.0,-5.4054054054054035,50.0,-14.285714285714292,0.0,14,0,1.0,-1.0
Samoa,2019_Paris_7s,19.892473118279568,0.0,0.0,0.0,19.298245614035082,50.0,-20.0,33.333333333333336,2,-50,1.0,0.0
South Africa,2019_Hong_Kong,19.83640081799591,-26.315789473684205,-33.333333333333336,0.5,26.92307692307692,0.0,0.0,0.0,2,0,0.0,-1.0
South Africa,2019_Paris_7s,-15.662650602409641,22.58064516129032,20.0,0.16666666666666663,-7.89473684210526,-40.0,-100.0,-100.0,-5,0,0.0,-1.0
South Africa,2019_Singapore_7s,-6.132075471698116,9.43396226415095,11.111111111111114,-0.09999999999999998,-13.043478260869563,15.0,-33.333333333333336,-100.0,0,0,0.0,1.0
Spain,2019_Cape_Town,27.058823529411768,35.84905660377359,33.333333333333336,0.16666666666666669,38.0952380952381,16.66666666666667,-14.285714285714292,33.333333333333336,38,0,1.0,0.0
Spain,2019_Hong_Kong,15.348837209302332,61.111111111111114,66.66666666666666,-0.6,18.181818181818187,-40.0,0.0,-33.333333333333336,24,0,1.0,0.0
Spain,2019_London_7s,31.904761904761898,72.22222222222223,66.66666666666666,0.6,16.92307692307692,-60.0,0.0,0.0,20,0,-0.4,0.0
Spain,2019_Paris_7s,-5.882352941176464,67.44186046511629,71.42857142857142,-0.5,-18.51851851851852,-20.0,0.0,-50.0,9,0,-1.0,0.0
