Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
Argentina,2017-18_Cape_Town,24.186046511627907,-40.0,-33.333333333333336,-0.5,38.70967741935485,-0.3333333333333333,60.0,50.0,0.0,,-0.1333333333333333,0.0
Argentina,2017-18_Dubai_7s,0.2915451895043759,-22.22222222222223,-33.333333333333336,0.75,12.0,,50.0,50.0,,,-0.09999999999999998,
Argentina,2017-18_Sydney_7s,-0.44444444444444287,-51.21951219512195,-42.85714285714286,-0.6,26.66666666666667,,0.0,,,,0.11111111111111116,0.0
Argentina,2018_Hamilton_7s,11.65644171779141,44.1860465116279,42.85714285714286,0.09999999999999998,-27.272727272727266,-0.16666666666666669,-33.333333333333336,,,,-0.16666666666666663,
Argentina,2018_Hong_Kong,37.417943107221014,-7.692307692307693,0.0,-0.5,52.0,-0.16666666666666669,-60.0,,,,0.125,0.0
Argentina,2018_Hong_Kong,13.714285714285708,29.166666666666664,25.0,0.26666666666666666,21.73913043478261,0.41666666666666663,0.0,,,,0.19999999999999996,
Argentina,2018_Las_Vegas,26.054590570719597,,,,20.0,,-33.333333333333336,,,,0.4545454545454546,
Australia,2017-18_Cape_Town,24.825986078886316,37.77777777777777,42.85714285714286,-0.4,28.571428571428577,,-50.0,,0.0,,-0.08333333333333337,0.0
Australia,2017-18_Sydney_7s,6.888361045130637,-15.555555555555557,-14.285714285714292,-0.08333333333333337,31.147540983606554,-0.3,60.0,33.333333333333336,,,-0.11666666666666659,
Australia,2018_Las_Vegas,33.333333333333336,60.0,60.0,0.0,25.0,,-42.85714285714286,-20.0,0.0,,0.0982142857142857,
Australia,2018_Vancouver_7s,19.68503937007874,-19.230769230769226,-25.0,0.4,38.46153846153845,0.16666666666666669,33.333333333333336,,0.0,0.0,0.0,0.0
Canada,2017-18_Dubai_7s,-29.936305732484072,-33.333333333333336,-33.333333333333336,0.0,-16.129032258064512,0.0,50.0,33.333333333333336,0.0,,-0.02083333333333337,0.0
Canada,2017-18_Sydney_7s,5.882352941176464,35.59322033898305,33.333333333333336,0.16666666666666674,-2.564102564102569,0.3214285714285714,33.333333333333336,33.333333333333336,0.0,,0.11111111111111116,
Canada,2018_Hamilton_7s,13.62467866323908,33.333333333333336,33.333333333333336,0.0,14.893617021276597,-0.09999999999999998,0.0,0.0,,,0.23076923076923073,0.0
Canada,2018_Vancouver_7s,-15.074309978768582,14.285714285714292,14.285714285714292,0.0,-9.090909090909093,0.41666666666666663,0.0,0.0,0.0,,-0.17460317460317454,
England,2018_Las_Vegas,14.893617021276597,17.241379310344826,20.0,-0.16666666666666669,14.285714285714292,,20.0,14.285714285714292,0.0,,0.006493506493506551,
Fiji,2017-18_Cape_Town,-8.872901678657072,-36.84210526315789,-33.333333333333336,-0.25,4.347826086956516,,,,,,0.08333333333333337,0.0
Fiji,2017-18_Sydney_7s,44.13965087281795,54.83870967741936,60.0,-0.5,58.823529411764696,,-14.285714285714292,,0.5,,-0.08333333333333337,0.0
Fiji,2018_Las_Vegas,36.46408839779005,46.15384615384616,50.0,-0.33333333333333337,42.37288135593221,,-60.0,,0.0,,0.19999999999999996,0.0
France,2017-18_Cape_Town,36.492890995260666,41.463414634146346,42.85714285714286,-0.09999999999999998,50.684931506849324,0.25,,,,,0.0,
France,2018_Hong_Kong,-3.0444964871194315,0.0,0.0,0.0,5.0847457627118615,0.16666666666666669,,,,,0.33333333333333337,0.0
Kenya,2018_Hamilton_7s,-0.5102040816326507,0.0,0.0,0.0,9.090909090909093,,20.0,33.333333333333336,0.0,,-0.08333333333333337,0.0
Kenya,2018_Vancouver_7s,21.382289416846646,-11.627906976744185,-14.285714285714292,0.16666666666666663,37.931034482758626,-0.16666666666666669,,,,,0.15909090909090906,0.0
New Zealand,2017-18_Cape_Town,28.473804100227795,,,,14.63414634146342,,0.0,0.0,,,0.08730158730158732,
New Zealand,2017-18_Dubai_7s,2.985074626865668,-29.411764705882348,-33.333333333333336,0.25,5.714285714285708,-0.3333333333333333,-60.0,-33.333333333333336,,,0.051948051948051965,
New Zealand,2018_Hong_Kong,-4.522613065326638,-66.66666666666666,-66.66666666666666,0.0,1.5873015873015817,,-33.333333333333336,0.0,,,-0.18181818181818177,0.0
New Zealand,2018_Vancouver_7s,18.695652173913047,,,,12.5,,-60.0,-33.333333333333336,0.0,,0.1461538461538462,
