Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff,-175 : -150,-149 : -125,-124 : -100,-99 : -75,-74 : -25,-24 : -1,0 : 25,26 : 50,51 : 75,76 : 100,101 : 125,126 : 150,Result
AUSTRALIA,2015_Cape_Town,13.966480446927376,-10.63829787234043,-14.285714285714292,0.25,25.925925925925927,-50.0,0.0,0.0,0.08333333333333337,50.0,0.33333333333333337,1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WALES,2015_Cape_Town,7.471264367816089,15.555555555555555,14.285714285714292,0.08333333333333337,27.868852459016395,25.0,-20.0,-100.0,0.25,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
KENYA,2015_Cape_Town,-33.13609467455621,-44.44444444444446,-33.333333333333336,-0.75,-10.63829787234043,-16.666666666666654,66.66666666666666,60.0,-0.55,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NEW ZEALAND,2015_Cape_Town,51.75879396984925,33.333333333333336,33.333333333333336,0.0,76.11940298507463,-75.0,-50.0,-100.0,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FIJI,2015_Cape_Town,12.880562060889929,-20.83333333333333,-25.0,0.2666666666666666,38.46153846153845,-66.66666666666666,-33.333333333333336,-33.333333333333336,0.20833333333333334,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PORTUGAL,2015_Cape_Town,26.13636363636364,76.27118644067798,77.77777777777777,-0.25,46.34146341463415,50.0,50.0,33.333333333333336,0.0793650793650793,-50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
FRANCE,2015_Dubai,-12.359550561797748,-10.63829787234043,-14.285714285714292,0.25,5.714285714285707,-50.0,60.0,33.333333333333336,0.11111111111111116,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NEW ZEALAND,2015_Dubai,-29.189189189189197,7.6923076923076925,0.0,0.5,-48.83720930232559,-50.0,20.0,0.0,-0.1692307692307693,-50.0,0.0,-1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2015_Dubai,-1.7369727047146457,5.0,0.0,0.33333333333333337,0.0,-25.0,-100.0,-100.0,-0.06818181818181822,50.0,1.0,0.5,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ENGLAND,2015_Dubai,5.483028720626634,-11.627906976744184,-14.285714285714292,0.16666666666666666,20.0,-16.666666666666654,20.0,25.0,-0.2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
