,Team,Opposition,Scores,Tries,Possession Time,Passes,Rucks Attack,Ruck_retention,T-Overs Won,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct
0,Argentina,USA,28.0,4.0,163,19,6,1.0,4.0,1.0,1.0,,2017-18_Cape_Town,1.0,0.6666666666666666,1.0,1.0
1,Australia,USA,14.0,2.0,162,20,8,1.0,5.0,3.0,1.0,,2017-18_Cape_Town,1.0,,1.0,1.0
2,Fiji,USA,26.0,4.0,227,33,3,0.6666666666666666,10.0,,,,2017-18_Cape_Town,0.75,,,1.0
3,France,USA,12.0,2.0,134,18,4,1.0,1.0,5.0,2.0,2.0,2017-18_Cape_Town,0.5,0.5,,
4,New Zealand,USA,,,157,35,7,0.8571428571428571,1.0,4.0,3.0,1.0,2017-18_Cape_Town,,,,
5,Spain,USA,5.0,1.0,164,23,8,0.75,6.0,3.0,1.0,1.0,2017-18_Cape_Town,0.0,0.5,1.0,1.0
6,USA,Fiji,12.0,2.0,190,36,8,0.75,2.0,3.0,2.0,,2017-18_Cape_Town,0.5,1.0,0.5,1.0
7,USA,France,29.0,5.0,288,55,11,1.0,,,,,2017-18_Cape_Town,0.4,0.75,1.0,
8,USA,Argentina,12.0,2.0,267,43,15,0.8666666666666667,5.0,4.0,3.0,,2017-18_Cape_Town,0.5,0.3333333333333333,1.0,1.0
9,USA,Spain,26.0,4.0,210,29,4,1.0,6.0,5.0,4.0,,2017-18_Cape_Town,0.75,0.5,1.0,1.0
10,USA,Australia,31.0,5.0,269,36,12,0.9166666666666666,2.0,1.0,,1.0,2017-18_Cape_Town,0.6,0.5,1.0,1.0
11,USA,New Zealand,22.0,4.0,282,47,18,0.9444444444444444,6.0,4.0,3.0,,2017-18_Cape_Town,0.25,,1.0,1.0
12,Argentina,USA,22.0,4.0,171,22,9,1.0,2.0,1.0,1.0,,2017-18_Dubai_7s,0.25,,1.0,1.0
13,Canada,USA,10.0,2.0,408,72,32,0.9375,8.0,2.0,2.0,,2017-18_Dubai_7s,0.0,0.5,1.0,1.0
14,New Zealand,USA,22.0,4.0,195,33,7,0.8571428571428571,6.0,4.0,2.0,,2017-18_Dubai_7s,0.25,0.3333333333333333,,
15,Samoa,USA,26.0,4.0,227,39,8,1.0,4.0,,,,2017-18_Dubai_7s,0.75,0.25,1.0,1.0
16,USA,Wales,21.0,3.0,231,42,10,1.0,2.0,2.0,,,2017-18_Dubai_7s,1.0,,1.0,
17,USA,Canada,5.0,1.0,220,52,12,0.9166666666666666,3.0,6.0,4.0,,2017-18_Dubai_7s,0.0,0.5,1.0,1.0
18,USA,New Zealand,12.0,2.0,207,37,11,0.9090909090909091,3.0,1.0,1.0,,2017-18_Dubai_7s,0.5,0.6666666666666666,,
19,USA,Samoa,14.0,2.0,149,16,8,0.75,1.0,6.0,4.0,,2017-18_Dubai_7s,1.0,0.3333333333333333,,
20,USA,Argentina,14.0,2.0,172,28,10,0.9,1.0,3.0,3.0,,2017-18_Dubai_7s,1.0,0.3333333333333333,,
21,Wales,USA,29.0,5.0,223,47,6,0.6666666666666666,3.0,6.0,4.0,,2017-18_Dubai_7s,0.4,0.4,,
22,Argentina,USA,31.0,5.0,226,22,9,0.8888888888888888,9.0,1.0,,,2017-18_Sydney_7s,0.6,0.3333333333333333,,1.0
23,Australia,USA,26.0,4.0,196,21,12,0.9166666666666666,6.0,1.0,1.0,,2017-18_Sydney_7s,0.75,0.2,0.5,1.0
24,Canada,USA,19.0,3.0,160,20,9,0.8888888888888888,1.0,1.0,1.0,1.0,2017-18_Sydney_7s,0.6666666666666666,0.25,1.0,
25,Fiji,USA,7.0,1.0,112,14,3,1.0,3.0,4.0,,,2017-18_Sydney_7s,1.0,,0.5,1.0
26,Scotland,USA,12.0,2.0,176,30,6,1.0,1.0,2.0,,,2017-18_Sydney_7s,0.5,0.3333333333333333,1.0,1.0
27,South Africa,USA,35.0,5.0,238,26,7,0.7142857142857143,6.0,6.0,3.0,,2017-18_Sydney_7s,1.0,0.6,1.0,1.0
28,USA,Argentina,10.0,2.0,224,38,9,1.0,4.0,1.0,,1.0,2017-18_Sydney_7s,0.0,,0.5,1.0
29,USA,South Africa,7.0,1.0,168,28,11,0.7272727272727273,3.0,3.0,2.0,,2017-18_Sydney_7s,1.0,1.0,1.0,
30,USA,Fiji,24.0,4.0,289,54,12,0.9166666666666666,6.0,3.0,1.0,,2017-18_Sydney_7s,0.5,1.0,1.0,1.0
31,USA,Canada,40.0,6.0,180,19,6,1.0,2.0,2.0,2.0,,2017-18_Sydney_7s,0.8333333333333334,0.5714285714285714,1.0,
32,USA,Scotland,26.0,4.0,225,34,8,0.875,1.0,4.0,2.0,1.0,2017-18_Sydney_7s,0.75,0.75,1.0,1.0
33,USA,Australia,19.0,3.0,225,40,10,0.8,3.0,4.0,2.0,,2017-18_Sydney_7s,0.6666666666666666,0.5,,
34,Argentina,USA,12.0,2.0,144,21,7,1.0,5.0,2.0,,1.0,2018_Hamilton_7s,0.5,0.5,,1.0
35,Canada,USA,14.0,2.0,168,20,13,0.7692307692307693,7.0,3.0,2.0,1.0,2018_Hamilton_7s,1.0,0.5,,1.0
36,Kenya,USA,19.0,3.0,197,20,6,0.8333333333333334,5.0,2.0,1.0,1.0,2018_Hamilton_7s,0.6666666666666666,,1.0,1.0
37,PNG,USA,12.0,2.0,152,22,5,0.6,3.0,2.0,1.0,1.0,2018_Hamilton_7s,0.5,,,1.0
38,Samoa,USA,14.0,2.0,184,16,8,0.75,7.0,3.0,3.0,,2018_Hamilton_7s,1.0,,0.6,1.0
39,Spain,USA,12.0,2.0,173,20,8,0.625,6.0,6.0,2.0,,2018_Hamilton_7s,0.5,,,1.0
40,USA,Argentina,31.0,5.0,182,12,6,0.8333333333333334,3.0,1.0,1.0,,2018_Hamilton_7s,0.6,0.3333333333333333,0.5,
41,USA,PNG,42.0,6.0,211,27,3,0.6666666666666666,3.0,3.0,,,2018_Hamilton_7s,1.0,0.3333333333333333,1.0,
42,USA,Spain,29.0,5.0,238,31,9,0.7777777777777778,5.0,2.0,1.0,,2018_Hamilton_7s,0.4,0.5,1.0,1.0
43,USA,Kenya,19.0,3.0,195,24,12,0.75,1.0,3.0,2.0,,2018_Hamilton_7s,0.6666666666666666,1.0,1.0,1.0
44,USA,Samoa,10.0,2.0,218,35,14,0.5714285714285714,7.0,6.0,5.0,,2018_Hamilton_7s,0.0,0.3333333333333333,,1.0
